SHOE_NAME,Brand,Closure,Collaboration,Designed By,Embellishment,Inspired From,Lace Type,MSRP (USD),Origin,Print,Release Date,Season,Style,Top,Weight (oz)
Adidas Ultraboost Web DNA,Adidas,"{Laces, Slip-On}",,,,Running,"{No Lace, Flat Lace}",180.00,Asian,{},2022,{Summer},{Sporty},Low,
Nike Retro GTS,Nike,{Laces},,,,Casual,"{Cotton Lace, Flat Lace}",65.00,,{},2021,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Nike Air Max Terrascape Plus,Nike,{Laces},,,,Hiking,"{Round Lace, Synthetic Lace}",185.00,,{},2022,"{Spring, Fall}","{Sporty, Futuristic}",Low,
Adidas Rivalry Low,Adidas,{Laces},,,,Basketball,"{Synthetic Lace, Flat Lace}",80.00,,{Camouflage},2019,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Nike Ebernon Low,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",65.00,,{},2019,"{Spring, Summer}","{Retro, Sporty}",Low,
Reebok Workout Plus,Reebok,{Laces},,,,Training,"{Cotton Lace, Flat Lace}",80.00,,{},,"{Spring, Summer, Fall}","{Classic, Sporty}",Low,
Puma Slipstream,PUMA,{Laces},,,,Basketball,{Flat Lace},85.00,,{},2023,"{Spring, Summer, Fall}","{Retro, Sporty}",Low,
GREATS Royale,GREATS,{Laces},,,,Casual,{},179.00,,{},2019,"{Spring, Summer, Fall}","{Minimalist, Dressy}",Low,
New Balance RC30,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",100.00,,{},2022,"{Spring, Summer, Fall}",{Sporty},Low,9.6
New Balance CT302,New Balance,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",90.00,,{},2022,"{Spring, Summer}",{Platform},Low,22.3
Nike Waffle One SE,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",120.00,Asian,{},2022,"{Spring, Summer}","{Retro, Sporty}",Low,
Nike Air SC Trainer High,Nike,{Laces},,,,Basketball,"{Cotton Lace, Round Lace}",130.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Classic, Sporty, Chunky}",High,
Adidas I-5923,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",130.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Vans Atwood,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",60.00,,"{Leopard, Checkered, Animal}",,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
Nike Air Max Correlate,Nike,{Laces},,Tinker Hatfield,,Running,"{Cotton Lace, Flat Lace}",95.00,,{},2020,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Jordan MA2,Jordan,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",150.00,Asian,{},2021,"{Spring, Summer}","{Sporty, Chunky}",Low,
Air Jordan 7 Retro,Jordan,{Laces},,,,Basketball,{Flat Lace},190.00,,{},,"{Spring, Summer}",{Sporty},High,16.2
Nike Air Force 1 07 LX,Nike,{Laces},,,Crystal,Basketball,{Flat Lace},120.00,Asian,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
DC Stag,DC,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",70.00,,{},,"{Spring, Summer, Fall}","{Sporty, Chunky}",Low,
Nike Blazer Low 77,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",85.00,Asian,{},2021,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Nike Blazer Mid,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",100.00,,{},2019,"{Spring, Fall}","{Classic, Sporty, Minimalist}",Mid,
Nike Air Max TW,Nike,{Laces},,,,Running,{Flat Lace},160.00,Asian,{},2022,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Adidas Forum 84 High,Adidas,"{Velcro, Laces}",,Jacques Chassaing,,Basketball,"{Cotton Lace, No Lace, Flat Lace}",110.00,Asian,{},2021,"{Spring, Fall}","{Classic, Sporty}",High,
Nike Air Max AP,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",100.00,Asian,{},2021,"{Spring, Summer}","{Retro, Sporty}",Low,13.7
New Balance 515 v3,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",75.00,,{},2022,"{Spring, Summer}","{Retro, Sporty}",Low,
Jordan Point Lane,Jordan,{Laces},,,,Basketball,{Round Lace},140.00,,{},2021,"{Spring, Fall}","{Retro, Sporty, Chunky}",Low,
Adidas Campus 00S,Adidas,{Laces},,,,Basketball,{Flat Lace},110.00,,{},2023,"{Spring, Summer, Fall}","{Retro, Classic, Sporty, Chunky}",Low,
Vans UltraRange,Vans,{Laces},,,,,"{Cotton Lace, Flat Lace}",90.00,,{},,{Summer},"{Retro, Sporty}",Low,9.0
Ariat Cruiser,Ariat,{Slip-On},,,,Casual,{No Lace},95.00,,{},2022,"{Spring, Summer}","{Minimalist, Dressy}",Low,11.0
PUMA Clasico Trainers,PUMA,{Laces},,,,Casual,"{Cotton Lace, Flat Lace}",65.00,,{},2021,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Nike SB Blazer Mid,Nike,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",85.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Mid,
Adidas Gazelle Bold,Adidas,{Laces},,,,Training,{},120.00,,{},2023,"{Spring, Summer, Fall}","{Sporty, Platform}",Low,
Nike Air Force 1 React,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",120.00,Asian,{},2020,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Nike Crater Impact,Nike,{Laces},,,,Running,{Round Lace},100.00,,{},2021,"{Spring, Summer}","{Sporty, Chunky}",Low,12.5
PUMA Mirage Sport,PUMA,{Laces},,,,,"{Cotton Lace, Flat Lace}",110.00,,{},2022,"{Spring, Summer}",{Retro},Low,
Reebok Zig Kinetica,Reebok,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",120.00,,{},2020,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,
Air Jordan 4 Retro,Jordan,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",190.00,,{},,"{Spring, Summer}",{Sporty},Mid,16.8
Osiris D3 2001,Osiris,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",110.00,,{},2019,"{Spring, Summer, Fall}","{Classic, Sporty, Chunky}",Low,
New Balance 574 Legacy,New Balance,{Laces},,,,,{Flat Lace},99.00,,{},2022,"{Spring, Summer}","{Retro, Classic}",Low,
Vans Style 36,Vans,{Laces},,,,Skate,{Flat Lace},65.00,,{},2022,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
Adidas LA Trainer,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",90.00,,{},,"{Spring, Summer}","{Classic, Sporty}",Low,
Reebok LX2200,Reebok,{Laces},,,,Running,{Flat Lace},100.00,,{},2023,{Fall},{Sporty},Low,13.0
Fila Disruptor 2,Fila,{Laces},,,,Training,"{Round Lace, Synthetic Lace}",65.00,,"{Leopard, Zebra, Animal}",2019,"{Spring, Summer}","{Retro, Dad, Sporty, Chunky}",Low,
Nike SB Ishod Wair,Nike,{Laces},,,,Skate,"{Cotton Lace, Round Lace, Flat Lace}",100.00,,{},2022,"{Spring, Summer}",{Sporty},Low,
Vans Skate Old Skool,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",70.00,,{Floral},2021,{Summer},"{Retro, Sporty, Minimalist}",Low,
Hey Dude Wally Stretch,Hey Dude,{Slip-On},,,,Casual,"{No Lace, Elastic Lace}",60.00,Italian,{},2022,"{Spring, Summer}","{Minimalist, Dressy}",Low,
Nike Dunk High Retro,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",110.00,,{},2021,"{Spring, Summer}","{Retro, Sporty}",High,
New Balance 420,New Balance,{Laces},,,,Running,{Flat Lace},80.00,,{},,"{Spring, Summer}","{Retro, Sporty}",Low,
Fila Renno,Fila,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",75.00,,{Camouflage},2021,"{Spring, Summer}",{Sporty},Low,
Vans Sk8-Hi MTE-2,Vans,{Laces},,,,Hiking,"{Cotton Lace, Round Lace, Synthetic Lace, Flat Lace}",140.00,,"{Leopard, Animal}",2021,"{Fall, Winter}",{Sneakerboots},High,
Nike Air Max 98,Nike,{Laces},,Sergio Lozano,Embroidered,Running,"{Round Lace, Synthetic Lace}",170.00,Asian,{},,"{Spring, Summer}","{Classic, Sporty, Chunky}",Low,
New Balance 440,New Balance,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",75.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Air Jordan 14 Retro,Jordan,{Laces},,,,Basketball,{},500.00,,{},,"{Spring, Summer}",{Sporty},Mid,14.3
Saucony Jazz 81,Saucony,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",90.00,,{},2021,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
New Balance 580,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",150.00,,{},,"{Spring, Summer}","{Classic, Sporty, Chunky}",Low,
Reebok Zig Dynamica,Reebok,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",80.00,,{},2021,"{Spring, Summer}","{Sporty, Futuristic}",Low,
PUMA Rebound LayUp,PUMA,{Laces},,,,Basketball,{Flat Lace},65.00,,{},2020,"{Spring, Fall}","{Retro, Sporty}",Mid,
Nike Air Zoom Flight 95,Nike,{Laces},,,,Basketball,{Round Lace},160.00,,{},,"{Spring, Summer, Fall}","{Sporty, Chunky}",Mid,
Vans Slip-On Platform,Vans,{Slip-On},,,,Skate,{No Lace},55.00,,{Checkered},,"{Spring, Summer}","{Retro, Minimalist, Platform}",Low,
Nike Air Force 1 07 Mid,Nike,"{Velcro, Laces}",,Bruce Kilgore,,Basketball,"{No Lace, Flat Lace}",95.00,,{},,"{Spring, Fall}","{Retro, Sporty}",Mid,
Balenciaga Runner,Balenciaga,{Laces},,,,Running,{Flat Lace},1150.00,Italian,{},2022,"{Fall, Winter}","{Dad, Sporty, Chunky, Deconstructed}",Low,
Adidas Puig,Adidas,{Laces},Lucas Puig,,,Skate,{Round Lace},90.00,,{},2021,"{Spring, Fall}",{Sporty},Low,
Nike Air Tailwind 79,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",90.00,USA,{},2019,"{Spring, Summer}","{Classic, Sporty}",Low,
Nike Zoom Vomero 5,Nike,{Laces},,,,Running,{Cotton Lace},130.00,,{},,{},"{Retro, Sporty}",Low,11.6
Nike Lunar Force 1 Duckboot,Nike,{Laces},,,Spikes,Basketball,"{Synthetic Lace, Flat Lace}",170.00,,{},,"{Fall, Winter}","{Retro, Sneakerboots}",High,
Adidas Spezial,Adidas,{Laces},Gary Aspden,,,,"{Synthetic Lace, Flat Lace}",75.00,,{},,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Jordan Black Cat,Jordan,"{Velcro, Laces}",,,,Basketball,"{Round Lace, Synthetic Lace, No Lace}",160.00,,{},2019,"{Spring, Summer}",{Sporty},Low,
Nike Air Max 90 SE,Nike,{Laces},,,,Running,{Flat Lace},130.00,Asian,{},,"{Spring, Summer, Fall}","{Retro, Sporty, Chunky}",Low,
Jordan Stay Loyal 2,Jordan,{Laces},,,,Basketball,{Flat Lace},115.00,,{},2023,"{Fall, Winter}","{Retro, Sporty}",Mid,15.7
Clarks Origin,Clarks,{Laces},,,,Casual,"{Synthetic Lace, Flat Lace}",150.00,,{},2022,"{Spring, Summer}","{Minimalist, Dressy}",Low,9.0
Adidas X_PLR,Adidas,"{Laces, Slip-On}",,,,Running,"{Round Lace, Synthetic Lace, No Lace, Elastic Lace}",85.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Saucony Shadow Original,Saucony,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",70.00,,{},,"{Spring, Summer}","{Classic, Sporty}",Low,12.9
DC Skyline,DC,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",65.00,,{},2022,"{Spring, Summer}","{Sporty, Minimalist}",Low,9.0
Adidas Ozrah,Adidas,{Laces},,,,Running,{Round Lace},140.00,Asian,{},2022,"{Spring, Summer, Fall}","{Sporty, Futuristic, Chunky}",Low,
Nike SB Chron 2,Nike,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",70.00,Asian,{},2022,"{Spring, Summer, Fall}","{Sporty, Minimalist}",Low,
Air Jordan 1 Retro High,Jordan,{Laces},,,,Basketball,{Flat Lace},160.00,,{},,"{Spring, Summer}",{Sporty},High,
Jordan Series ES,Jordan,{Laces},,,Embroidered,Basketball,{},80.00,,{},2022,"{Spring, Summer, Fall}","{Sporty, Futuristic}",Low,
Nike Air Structure,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",120.00,Asian,{},2021,"{Spring, Summer}","{Classic, Sporty}",Low,14.8
Vans Ward,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",60.00,,{Tie Dye},2020,"{Spring, Summer, Fall}","{Sporty, Minimalist}",Low,
Fila Oakmont TR,Fila,{Laces},,,,Hiking,{},75.00,,{},2020,{},{},Low,
Nike Air Flight Lite Mid,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",120.00,Asian,{},2022,"{Spring, Summer, Fall}","{Retro, Sporty}",Mid,
DC Court Graffik,DC,{Laces},,,,Skate,{},65.00,,{},,{},{},Low,20.0
Nike SB Chron 2 Canvas,Nike,{Laces},,,,Skate,{Flat Lace},65.00,,{},2022,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Adidas Response CL,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",120.00,,{},2021,"{Spring, Summer}","{Retro, Dad, Sporty, Chunky}",Low,
ASICS Gel Kayano 14,ASICS,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",75.00,,{},2021,{},"{Retro, Sporty}",Low,
New Balance 574 v2,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",80.00,,{},2019,"{Spring, Summer}","{Retro, Sporty}",Low,
Vans Rowan,Vans,{Laces},Rowan Zorilla,Ronnie Fieg,,Skate,"{Cotton Lace, Flat Lace}",70.00,Asian,{},2022,"{Spring, Summer}",{},Low,16.0
Nike Manoa,Nike,{Laces},,,,Hiking,"{Round Lace, Synthetic Lace}",90.00,,{},,"{Fall, Winter}",{Sneakerboots},High,
Adidas Tyshawn Low,Adidas,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",85.00,Asian,{},2021,"{Spring, Summer}",{Sporty},Low,
Hey Dude Wally Funk,Hey Dude,{Slip-On},,,,Casual,{No Lace},60.00,,{},2022,"{Spring, Summer}",{Minimalist},Low,5.5
Adidas Falcon,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",100.00,,{},,"{Spring, Summer}","{Retro, Dad, Sporty, Chunky}",Low,
Adidas Run 70s,Adidas,{Laces},,,,Running,{},70.00,,{},,"{Spring, Summer}",{},Low,
New Balance 1906R,New Balance,{Laces},,,,Running,{Round Lace},150.00,Asian,{},2022,{Summer},"{Retro, Dad, Sporty}",Low,
APL TechLoom Bliss,APL,{Slip-On},,,,Running,{No Lace},200.00,Asian,{},2021,"{Spring, Summer}","{Sporty, Minimalist}",Low,6.8
PUMA Pacer Future,PUMA,"{Laces, Slip-On}",,,,Running,"{Round Lace, Synthetic Lace, No Lace}",70.00,,{Camouflage},2021,"{Spring, Summer}",{Sporty},Low,
New Balance 247,New Balance,"{Laces, Slip-On}",,,,Running,"{Cotton Lace, No Lace, Flat Lace}",70.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Adidas Puremotion,Adidas,{Laces},,,,Running,{Flat Lace},65.00,,{},,"{Spring, Summer}",{Sporty},Low,
Nike Air Force 1 Mid,Nike,"{Velcro, Laces}",,Bruce Kilgore,,Basketball,"{Cotton Lace, No Lace, Flat Lace}",95.00,,{},,"{Spring, Fall}","{Classic, Sporty}",Mid,
Onitsuka Tiger GSM,Onitsuka Tiger,{Laces},,,,Tennis,{},110.00,,{},,{},{Retro},Low,
Nike Dunk Low Retro,Nike,{Laces},,,,Basketball,"{Synthetic Lace, Flat Lace}",100.00,,{},2021,"{Summer, Fall}","{Retro, Sporty}",Low,
PUMA GV Special,PUMA,{Laces},,,,Tennis,{Flat Lace},65.00,,{},,"{Spring, Summer}","{Classic, Sporty}",Low,
New Balance 990 v4,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",170.00,USA,{},,"{Spring, Summer}","{Retro, Dad, Sporty, Chunky}",Low,13.6
Vans Slip-On Pro,Vans,{Slip-On},,,,Skate,{No Lace},60.00,,{},2020,"{Spring, Summer}","{Retro, Minimalist}",Low,
Vans Old Skool Overt CC,Vans,{Laces},,,,Skate,{Flat Lace},105.00,,{},2022,"{Spring, Summer}","{Sporty, Wedge}",Low,12.0
APL Techloom Pro,APL,{Laces},,,,Running,"{Cotton Lace, Round Lace}",160.00,,{},2021,"{Spring, Summer}","{Sporty, Minimalist}",Low,
PUMA Smash v2,PUMA,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",55.00,,{},2019,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Nike Venture Runner,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",70.00,Asian,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
Adidas Kaptir,Adidas,"{Laces, Slip-On}",,,,Running,"{Round Lace, No Lace}",85.00,,{},2020,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Jordan Delta 2,Jordan,{Laces},,,,Basketball,"{Cotton Lace, Round Lace}",130.00,Asian,{},2021,"{Spring, Summer}","{Sporty, Chunky}",Low,
New Balance 300,New Balance,{Laces},,,,Tennis,{},95.00,,{},,{},{Retro},Low,6.0
New Balance 992,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",175.00,USA,{},2020,"{Spring, Summer}","{Retro, Dad, Sporty, Chunky}",Low,
Nike React Live,Nike,{Laces},,,,Running,{Round Lace},100.00,Asian,{},2021,"{Spring, Summer}","{Sporty, Deconstructed}",Low,11.3
New Balance 420 v2,New Balance,{Laces},,,,Running,{Flat Lace},100.00,,{},2022,"{Spring, Summer}","{Retro, Sporty}",Low,
eS Accel OG,éS,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",75.00,,{},2019,"{Spring, Summer, Fall}","{Sporty, Chunky}",Low,
Nike Air Max IVO,Nike,{Laces},,Tinker Hatfield,,Running,"{Cotton Lace, Flat Lace}",100.00,,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
Adidas Postmove Mid,Adidas,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",80.00,,{},2022,"{Spring, Fall}",{Sporty},Mid,
Nike Air Max 95 Essential,Nike,{Laces},,,,Running,"{Cotton Lace, Round Lace}",170.00,,{},,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Adidas Ozweego Celox,Adidas,{Laces},,,,Running,"{Round Lace, Synthetic Lace}",120.00,,{},2021,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Reebok Club MEMT,Reebok,{},,,,Tennis,{},65.00,,{},,{},{},Low,
Nike Air Max Penny,Nike,{Laces},,Eric Avar,,Basketball,{Round Lace},190.00,,{Zebra},2023,"{Spring, Summer}","{Retro, Sporty}",Mid,12.4
Adidas Adifom SLTN,Adidas,{Laces},,,,Running,{},100.00,,{},2023,"{Spring, Summer, Fall}","{Sporty, Futuristic, Chunky}",Low,
Nike Air Max BW,Nike,{Laces},,Tinker Hatfield,,Running,"{Cotton Lace, Flat Lace}",140.00,,{},2021,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
New Balance X-90,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",120.00,,{},,"{Spring, Summer}",{Sporty},Low,
Asics EX89,ASICS,{Laces},,Toshikazu Kayano,,Basketball,"{Cotton Lace, Flat Lace}",110.00,,{},2023,"{Fall, Winter}","{Retro, Classic, Sporty, Chunky}",Low,
New Balance X70,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",75.00,,{},2020,"{Spring, Summer}","{Sporty, Minimalist}",Low,
PUMA RS-Fast,PUMA,{Laces},,,,Running,{Elastic Lace},110.00,,{},2020,"{Spring, Summer}","{Sporty, Futuristic}",Low,
Adidas Treziod,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",110.00,,{},2022,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Nike Air Max 200,Nike,{Laces},,,,Running,"{Round Lace, Synthetic Lace}",120.00,Asian,{},2019,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
New Balance 574 Rugged,New Balance,{Laces},,,,Hiking,"{Cotton Lace, Flat Lace}",90.00,,{},2022,"{Spring, Summer}",{Sporty},Low,13.3
Veja Venturi,Veja,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",160.00,,{},2021,"{Spring, Summer}",{Sporty},Low,12.2
Jordan Lift Off,Jordan,{Laces},,,,Basketball,"{Round Lace, Synthetic Lace, Flat Lace}",115.00,,{},,"{Spring, Fall}",{Sporty},High,
Adidas Yeezy 350 Boost v2,Adidas,"{Laces, Slip-On}",Kanye West,,,Casual,"{Round Lace, Synthetic Lace, No Lace}",220.00,,{},,"{Spring, Summer}",{Sporty},Low,
Saucony Jazz Court,Saucony,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",90.00,,{},2021,{Summer},"{Retro, Sporty, Minimalist}",Low,
Reebok BB 4000,Reebok,{Laces},,,,Basketball,{},75.00,,{},2020,"{Spring, Summer}",{Retro},Low,
Nike Court Vision Low Next Nature,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",75.00,Asian,{},2022,"{Fall, Winter}","{Retro, Sporty, Minimalist}",Low,
Nike Blazer Low 77 Jumbo,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",95.00,Asian,{},2022,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Nike Blazer Low,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",75.00,,{},,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
Adidas Superstar 82,Adidas,{Laces},,,,Basketball,{Flat Lace},120.00,Asian,{},2022,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
Adidas Top Ten RB,Adidas,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",100.00,,{},2022,"{Spring, Summer, Fall}","{Retro, Classic, Sporty}",High,
Adidas Yung-1,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",120.00,,{},,"{Spring, Summer}","{Retro, Dad, Sporty, Chunky}",Low,
Adidas Multix,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",80.00,,{},2021,"{Spring, Summer}","{Sporty, Minimalist}",Low,11.0
Adidas Copa Nationale,Adidas,{Laces},,,,Skate,"{Synthetic Lace, Flat Lace}",90.00,,{},2020,"{Spring, Summer}","{Classic, Sporty}",Low,
eS Accel Slim,éS,{},,,,Skate,{},85.00,,{},2019,{},{},Low,
Nike P-6000,Nike,{Laces},,,Glitter,Running,"{Synthetic Lace, Flat Lace}",100.00,Asian,{},2019,"{Spring, Summer}",{Sporty},Low,
Native Jefferson,Native,{Slip-On},,,,Casual,{No Lace},50.00,,{},,{Summer},{},Low,
Jordan Delta 3 Low,Jordan,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",140.00,Asian,{},2023,"{Spring, Summer}",{Sporty},Low,
Vans Wayvee,Vans,{Laces},,,,Skate,{Cotton Lace},90.00,,{Floral},2021,"{Spring, Summer}",{Sporty},Low,
New Balance 991,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",265.00,European,{},2019,"{Spring, Summer}","{Classic, Dad, Chunky}",Low,
Nike Air Pegasus 83,Nike,{Laces},,Bruce Kilgore,,Running,"{Cotton Lace, Flat Lace}",80.00,,{},,"{Spring, Summer}","{Retro, Sporty}",Low,9.0
DC Versatile,DC,{Laces},,,,Skate,"{Round Lace, Synthetic Lace}",100.00,,{},2022,"{Spring, Summer}",{Sporty},Low,14.0
PUMA X-Ray,PUMA,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",75.00,,{},2020,"{Spring, Summer, Fall}","{Sporty, Chunky}",Low,
Nike SB Force 58 Premium,Nike,{Laces},,,,Skate,{Flat Lace},80.00,,{},2022,"{Spring, Summer, Fall}","{Sporty, Minimalist}",Low,
Nike Air Max Goadome,Nike,{Laces},,,,Hiking,{Flat Lace},170.00,,{},,"{Fall, Winter}",{Sneakerboots},High,
Adidas ZX 5K Boost,Adidas,{Laces},,,,Training,"{Cotton Lace, Flat Lace}",160.00,Asian,{},2022,"{Spring, Summer}","{Retro, Sporty, Futuristic}",Low,
Nike Air Presto Mid Utility,Nike,"{Zipper, Laces}",,,,Running,"{Round Lace, No Lace}",140.00,,{},,"{Fall, Winter}","{Sporty, Sneakerboots}",Mid,
Nike Air Max Bolt,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",85.00,,{},2021,"{Spring, Summer}",{Sporty},Low,
Adidas Lite Racer Adapt,Adidas,"{Laces, Slip-On}",,,,Running,"{Round Lace, Synthetic Lace, No Lace}",65.00,,{},2019,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Adidas Crazy BYW,Adidas,{Laces},,,,Basketball,"{Round Lace, Synthetic Lace}",170.00,,{},,"{Spring, Summer}","{Retro, Sporty}",Mid,
Nike Court Royale,Nike,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",55.00,Asian,{},,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
On The Roger Advantage,On,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",140.00,,{},2022,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
Fila MB,Fila,{},,,,Basketball,{},100.00,,{},2019,{},{},High,
Adidas Busenitz Pro,Adidas,{Laces},Dennis Busenitz,,,Skate,"{Synthetic Lace, Flat Lace}",80.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Nike Waffle Racer,Nike,{Laces},,Bill Bowerman,,Running,"{Cotton Lace, Flat Lace}",85.00,,{},2020,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
ASICS Tiger Runner,ASICS,{Laces},,,,Running,{},65.00,,{},2020,"{Spring, Summer}",{Classic},Low,
Adidas Forum 84 Low ADV,Adidas,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",100.00,Asian,{},2022,{Spring},"{Retro, Classic}",Low,
Nike Air Force 1 Luxe,Nike,{Laces},,,,Basketball,{Round Lace},140.00,,{},2022,"{Spring, Summer, Fall}","{Retro, Sporty}",Low,28.9
Vans Sk8-Mid,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",65.00,,{},2021,"{Spring, Summer}","{Retro, Sporty}",Mid,
Nike Defy All Day,Nike,{Laces},,,,Training,{Flat Lace},65.00,,{},2022,"{Spring, Fall}","{Retro, Dad, Sporty, Chunky}",Low,
Hey Dude Wally Free,Hey Dude,"{Laces, Slip-On}",,,,Boat,"{Round Lace, No Lace}",65.00,USA,{},2022,"{Spring, Summer}","{Minimalist, Dressy}",Low,6.0
Nike Air Tuned Max,Nike,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",170.00,Asian,{},2021,"{Spring, Summer}","{Retro, Sporty, Futuristic}",Low,
